ville,temperature,precipitation,date,barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,region
TANGER,16,0,1/31/2022,TANGER - MEDITERRANEE,"22,0","17,5","79,4","13,6","61,8",Tanger-Tetouan-Al Hoceima
Ouarzazate,12,0.3,1/31/2022,MANSOUR EDDAHBI,"445,3","97,9","22,0","96,4","21,7",Draa-Tafilalet
TANGER,17,0,2/7/2022,TANGER - MEDITERRANEE,"22,0","17,5","79,6","13,7","62,2",Tanger-Tetouan-Al Hoceima
Ouarzazate,14,0.4,2/7/2022,MANSOUR EDDAHBI,"445,3","99,9","22,4","96,7","21,7",Draa-Tafilalet
TANGER,15,3.6,2/14/2022,TANGER - MEDITERRANEE,"22,0","17,5","79,6","14,3","64,9",Tanger-Tetouan-Al Hoceima
Ouarzazate,14,0,2/14/2022,MANSOUR EDDAHBI,"445,3","101,4","22,8","96,5","21,7",Draa-Tafilalet
TANGER,17,0,2/21/2022,TANGER - MEDITERRANEE,"22,0","17,5","79,7","14,4","65,5",Tanger-Tetouan-Al Hoceima
Ouarzazate,15,0,2/21/2022,MANSOUR EDDAHBI,"445,3","102,3","23,0","96,5","21,7",Draa-Tafilalet
TANGER,15,0,2/28/2022,TANGER - MEDITERRANEE,"22,0","17,5","79,7","14,6","66,5",Tanger-Tetouan-Al Hoceima
Ouarzazate,15,5.4,2/28/2022,MANSOUR EDDAHBI,"445,3","102,6","23,0","98,9","22,2",Draa-Tafilalet
